script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t5705-session-id-in-capabilities.sh,PASS,PASS,17,17,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5710-promisor-remote-capability.sh,PASS,PASS,24,24,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5730-protocol-v2-bundle-uri-file.sh,PASS,FAIL,8,8,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t5731-protocol-v2-bundle-uri-git.sh,PASS,FAIL,8,8,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t5750-bundle-uri-parse.sh,PASS,PASS,13,13,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5801-remote-helpers.sh,PASS,PASS,35,35,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5802-connect-helper.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5810-proto-disable-local.sh,PASS,PASS,54,54,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5811-proto-disable-git.sh,PASS,PASS,26,26,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5812-proto-disable-http.sh,PASS,PASS,29,29,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5813-proto-disable-ssh.sh,PASS,PASS,81,81,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5814-proto-disable-ext.sh,PASS,PASS,27,27,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5815-submodule-protos.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t5900-repo-selection.sh,PASS,PASS,8,8,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6000-rev-list-misc.sh,PASS,FAIL,24,24,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6001-rev-list-graft.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6002-rev-list-bisect.sh,PASS,PASS,53,53,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6003-rev-list-topo-order.sh,PASS,PASS,36,36,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6004-rev-list-path-optim.sh,PASS,PASS,7,7,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6005-rev-list-count.sh,PASS,PASS,6,6,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6006-rev-list-format.sh,PASS,PASS,80,80,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6007-rev-list-cherry-pick-file.sh,PASS,PASS,23,23,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6008-rev-list-submodule.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
