label,script,command,result,elapsed_ms,ok,notok,total,plan_total
full-oracle-6d144c6c-wave-1,t5704-protocol-violations.sh,t5704-protocol-violations.sh,PASS,285,3,0,3,3
full-oracle-6d144c6c-wave-1,t5810-proto-disable-local.sh,t5810-proto-disable-local.sh,PASS,1672,54,0,54,54
full-oracle-6d144c6c-wave-1,t6001-rev-list-graft.sh,t6001-rev-list-graft.sh,PASS,639,14,0,14,14
full-oracle-6d144c6c-wave-1,t6009-rev-list-parent.sh,t6009-rev-list-parent.sh,PASS,2754,15,0,15,15
full-oracle-6d144c6c-wave-1,t6018-rev-list-glob.sh,t6018-rev-list-glob.sh,PASS,2098,91,4,95,95
full-oracle-6d144c6c-wave-1,t6050-replace.sh,t6050-replace.sh,PASS,2998,37,0,37,37
full-oracle-6d144c6c-wave-1,t6113-rev-list-bitmap-filters.sh,t6113-rev-list-bitmap-filters.sh,PASS,941,14,0,14,14
full-oracle-6d144c6c-wave-1,t6134-pathspec-in-submodule.sh,t6134-pathspec-in-submodule.sh,PASS,781,3,0,3,3
full-oracle-6d144c6c-wave-1,t6400-merge-df.sh,t6400-merge-df.sh,PASS,989,7,0,7,7
full-oracle-6d144c6c-wave-1,t6408-merge-up-to-date.sh,t6408-merge-up-to-date.sh,PASS,582,8,0,8,8
full-oracle-6d144c6c-wave-1,t6417-merge-ours-theirs.sh,t6417-merge-ours-theirs.sh,PASS,1136,7,0,7,7
full-oracle-6d144c6c-wave-1,t6426-merge-skip-unneeded-updates.sh,t6426-merge-skip-unneeded-updates.sh,PASS,3108,13,0,13,13
full-oracle-6d144c6c-wave-1,t6434-merge-recursive-rename-options.sh,t6434-merge-recursive-rename-options.sh,PASS,1730,27,0,27,27
full-oracle-6d144c6c-wave-1,t6600-test-reach.sh,t6600-test-reach.sh,PASS,8340,53,0,53,53
full-oracle-6d144c6c-wave-1,t7007-show.sh,t7007-show.sh,PASS,901,18,0,18,18
full-oracle-6d144c6c-wave-1,t7061-wtstatus-ignore.sh,t7061-wtstatus-ignore.sh,PASS,769,25,0,25,25
full-oracle-6d144c6c-wave-1,t7105-reset-patch.sh,t7105-reset-patch.sh,PASS,981,13,0,13,13
full-oracle-6d144c6c-wave-1,t7300-clean.sh,t7300-clean.sh,PASS,1941,53,2,55,55
full-oracle-6d144c6c-wave-1,t7408-submodule-reference.sh,t7408-submodule-reference.sh,PASS,4294,16,0,16,16
full-oracle-6d144c6c-wave-1,t7418-submodule-sparse-gitmodules.sh,t7418-submodule-sparse-gitmodules.sh,PASS,1780,9,0,9,9
full-oracle-6d144c6c-wave-1,t7426-submodule-get-default-remote.sh,t7426-submodule-get-default-remote.sh,PASS,1451,15,0,15,15
full-oracle-6d144c6c-wave-1,t7506-status-submodule.sh,t7506-status-submodule.sh,PASS,2731,40,0,40,40
full-oracle-6d144c6c-wave-1,t7514-commit-patch.sh,t7514-commit-patch.sh,PASS,300,3,0,3,3
full-oracle-6d144c6c-wave-1,t7524-commit-summary.sh,t7524-commit-summary.sh,PASS,270,2,0,2,2
full-oracle-6d144c6c-wave-1,t7604-merge-custom-message.sh,t7604-merge-custom-message.sh,PASS,590,8,0,8,8
full-oracle-6d144c6c-wave-1,t7612-merge-verify-signatures.sh,t7612-merge-verify-signatures.sh,PASS,273,16,0,16,16
full-oracle-6d144c6c-wave-1,t7800-difftool.sh,t7800-difftool.sh,PASS,12890,95,0,95,95
full-oracle-6d144c6c-wave-1,t7817-grep-sparse-checkout.sh,t7817-grep-sparse-checkout.sh,PASS,851,8,0,8,8
full-oracle-6d144c6c-wave-1,t8007-cat-file-textconv.sh,t8007-cat-file-textconv.sh,PASS,656,15,0,15,15
full-oracle-6d144c6c-wave-1,t8015-blame-diff-algorithm.sh,t8015-blame-diff-algorithm.sh,PASS,338,7,0,7,7
full-oracle-6d144c6c-wave-1,t9302-fast-import-unpack-limit.sh,t9302-fast-import-unpack-limit.sh,PASS,1370,3,0,3,3
full-oracle-6d144c6c-wave-1,t9901-git-web--browse.sh,t9901-git-web--browse.sh,PASS,729,5,0,5,5
full-oracle-6d144c6c-wave-2,t0001-init.sh,init,PASS,6390,103,0,103,103
full-oracle-6d144c6c-wave-2,t0009-git-dir-validation.sh,t0009-git-dir-validation.sh,PASS,633,6,0,6,6
full-oracle-6d144c6c-wave-2,t0020-crlf.sh,t0020-crlf.sh,PASS,2321,36,0,36,36
full-oracle-6d144c6c-wave-2,t0028-working-tree-encoding.sh,t0028-working-tree-encoding.sh,PASS,2595,22,0,22,22
full-oracle-6d144c6c-wave-2,t0041-usage.sh,t0041-usage.sh,PASS,768,16,0,16,16
full-oracle-6d144c6c-wave-2,t0062-revision-walking.sh,t0062-revision-walking.sh,PASS,432,2,0,2,2
full-oracle-6d144c6c-wave-2,t0090-cache-tree.sh,t0090-cache-tree.sh,PASS,3828,23,0,23,23
full-oracle-6d144c6c-wave-2,t0202-gettext-perl.sh,t0202-gettext-perl.sh,PASS,501,1,0,1,1
full-oracle-6d144c6c-wave-2,t0301-credential-cache.sh,t0301-credential-cache.sh,PASS,6874,52,0,52,52
full-oracle-6d144c6c-wave-2,t0601-reffiles-pack-refs.sh,t0601-reffiles-pack-refs.sh,PASS,6561,47,0,47,47
full-oracle-6d144c6c-wave-2,t1001-read-tree-m-2way.sh,t1001-read-tree-m-2way.sh,PASS,3542,29,0,29,29
full-oracle-6d144c6c-wave-2,t1009-read-tree-new-index.sh,t1009-read-tree-new-index.sh,PASS,422,3,0,3,3
full-oracle-6d144c6c-wave-2,t1020-subdirectory.sh,t1020-subdirectory.sh,PASS,1379,15,0,15,15
full-oracle-6d144c6c-wave-2,t1100-commit-tree-options.sh,t1100-commit-tree-options.sh,PASS,522,5,0,5,5
full-oracle-6d144c6c-wave-2,t1307-config-blob.sh,t1307-config-blob.sh,PASS,677,13,0,13,13
full-oracle-6d144c6c-wave-2,t1402-check-ref-format.sh,t1402-check-ref-format.sh,PASS,1569,99,0,99,99
full-oracle-6d144c6c-wave-2,t1410-reflog.sh,t1410-reflog.sh,PASS,6229,40,1,41,41
full-oracle-6d144c6c-wave-2,t1418-reflog-exists.sh,t1418-reflog-exists.sh,PASS,499,6,0,6,6
full-oracle-6d144c6c-wave-2,t1451-fsck-buffer.sh,t1451-fsck-buffer.sh,PASS,1547,72,0,72,72
full-oracle-6d144c6c-wave-2,t1503-rev-parse-verify.sh,t1503-rev-parse-verify.sh,PASS,1188,12,0,12,12
full-oracle-6d144c6c-wave-2,t1511-rev-parse-caret.sh,t1511-rev-parse-caret.sh,PASS,1177,17,0,17,17
full-oracle-6d144c6c-wave-2,t1700-split-index.sh,t1700-split-index.sh,PASS,3037,29,0,29,29
full-oracle-6d144c6c-wave-2,t2004-checkout-cache-temp.sh,t2004-checkout-cache-temp.sh,PASS,1220,23,0,23,23
full-oracle-6d144c6c-wave-2,t2012-checkout-last.sh,t2012-checkout-last.sh,PASS,2918,22,0,22,22
full-oracle-6d144c6c-wave-2,t2020-checkout-detach.sh,t2020-checkout-detach.sh,PASS,2607,26,0,26,26
full-oracle-6d144c6c-wave-2,t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,4391,14,0,14,14
full-oracle-6d144c6c-wave-2,t2082-parallel-checkout-attributes.sh,t2082-parallel-checkout-attributes.sh,PASS,2031,5,0,5,5
full-oracle-6d144c6c-wave-2,t2107-update-index-basic.sh,t2107-update-index-basic.sh,PASS,1040,10,0,10,10
full-oracle-6d144c6c-wave-2,t2206-add-submodule-ignored.sh,t2206-add-submodule-ignored.sh,PASS,1844,8,0,8,8
full-oracle-6d144c6c-wave-2,t2406-worktree-repair.sh,t2406-worktree-repair.sh,PASS,2986,24,0,24,24
full-oracle-6d144c6c-wave-2,t3004-ls-files-basic.sh,t3004-ls-files-basic.sh,PASS,593,6,0,6,6
full-oracle-6d144c6c-wave-2,t3012-ls-files-dedup.sh,t3012-ls-files-dedup.sh,PASS,746,3,0,3,3
full-oracle-6d144c6c-wave-2,t3101-ls-tree-dirname.sh,t3101-ls-tree-dirname.sh,PASS,818,19,0,19,19
full-oracle-6d144c6c-wave-2,t3203-branch-output.sh,t3203-branch-output.sh,PASS,2116,41,0,41,41
full-oracle-6d144c6c-wave-2,t3302-notes-index-expensive.sh,t3302-notes-index-expensive.sh,PASS,3096,12,0,12,12
full-oracle-6d144c6c-wave-2,t3311-notes-merge-fanout.sh,t3311-notes-merge-fanout.sh,PASS,17368,24,0,24,24
full-oracle-6d144c6c-wave-2,t3405-rebase-malformed.sh,t3405-rebase-malformed.sh,PASS,1189,5,0,5,5
full-oracle-6d144c6c-wave-2,t3416-rebase-onto-threedots.sh,t3416-rebase-onto-threedots.sh,PASS,2868,18,0,18,18
full-oracle-6d144c6c-wave-2,t3424-rebase-empty.sh,t3424-rebase-empty.sh,PASS,2763,19,1,20,20
full-oracle-6d144c6c-wave-2,t3432-rebase-fast-forward.sh,t3432-rebase-fast-forward.sh,PASS,33177,219,6,225,225
full-oracle-6d144c6c-wave-2,t3450-history.sh,t3450-history.sh,PASS,391,2,0,2,2
full-oracle-6d144c6c-wave-2,t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,1810,17,0,17,17
full-oracle-6d144c6c-wave-2,t3513-revert-submodule.sh,t3513-revert-submodule.sh,PASS,15625,12,2,14,14
full-oracle-6d144c6c-wave-2,t3702-add-edit.sh,t3702-add-edit.sh,PASS,878,3,0,3,3
full-oracle-6d144c6c-wave-2,t3903-stash.sh,t3903-stash.sh,PASS,19552,143,2,145,145
full-oracle-6d144c6c-wave-2,t3920-crlf-messages.sh,t3920-crlf-messages.sh,PASS,1959,18,0,18,18
full-oracle-6d144c6c-wave-2,t4007-rename-3.sh,t4007-rename-3.sh,PASS,717,13,0,13,13
full-oracle-6d144c6c-wave-2,t4015-diff-whitespace.sh,t4015-diff-whitespace.sh,PASS,9153,136,0,136,136
full-oracle-6d144c6c-wave-2,t4024-diff-optimize-common.sh,t4024-diff-optimize-common.sh,PASS,912,2,0,2,2
full-oracle-6d144c6c-wave-2,t4032-diff-inter-hunk-context.sh,t4032-diff-inter-hunk-context.sh,PASS,1918,38,0,38,38
full-oracle-6d144c6c-wave-2,t4040-whitespace-status.sh,t4040-whitespace-status.sh,PASS,850,11,0,11,11
full-oracle-6d144c6c-wave-2,t4048-diff-combined-binary.sh,t4048-diff-combined-binary.sh,PASS,1518,14,0,14,14
full-oracle-6d144c6c-wave-2,t4056-diff-order.sh,t4056-diff-order.sh,PASS,1360,23,0,23,23
full-oracle-6d144c6c-wave-2,t4064-diff-oidfind.sh,t4064-diff-oidfind.sh,PASS,1661,10,0,10,10
full-oracle-6d144c6c-wave-2,t4072-diff-max-depth.sh,t4072-diff-max-depth.sh,PASS,1754,50,26,76,76
full-oracle-6d144c6c-wave-2,t4105-apply-fuzz.sh,t4105-apply-fuzz.sh,PASS,677,9,0,9,9
full-oracle-6d144c6c-wave-2,t4113-apply-ending.sh,t4113-apply-ending.sh,PASS,544,3,0,3,3
full-oracle-6d144c6c-wave-2,t4121-apply-diffs.sh,t4121-apply-diffs.sh,PASS,692,2,0,2,2
full-oracle-6d144c6c-wave-2,t4129-apply-samemode.sh,t4129-apply-samemode.sh,PASS,3524,23,0,23,23
full-oracle-6d144c6c-wave-2,t4137-apply-submodule.sh,t4137-apply-submodule.sh,PASS,23611,24,4,28,28
full-oracle-6d144c6c-wave-2,t4200-rerere.sh,t4200-rerere.sh,PASS,5295,36,0,36,36
