target,script,result,exit_code,pass,fail,todo,skip,total_cells,plan_total,abort,timeout,missing_cells,extra_cells
sley,t4108-apply-threeway.sh,PASS,0,18,0,0,0,18,18,0,0,0,0
sley,t4116-apply-reverse.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t4124-apply-ws-rule.sh,PASS,0,86,0,0,0,86,86,0,0,0,0
sley,t4132-apply-removal.sh,FAIL,1,8,6,0,0,14,14,0,0,0,0
sley,t4140-apply-ita.sh,FAIL,1,2,5,0,0,7,7,0,0,0,0
sley,t4203-mailmap.sh,PASS,0,81,0,0,0,81,81,0,0,0,0
sley,t4211-line-log.sh,PASS,0,95,0,0,0,95,95,0,0,0,0
sley,t4255-am-submodule.sh,PASS,0,29,0,4,0,33,33,0,0,0,0
sley,t5004-archive-corner-cases.sh,PASS,0,12,0,0,2,14,14,0,0,0,0
sley,t5305-include-tag.sh,FAIL,1,13,2,0,0,15,15,0,0,0,0
sley,t5313-pack-bounds-checks.sh,FAIL,1,3,6,0,0,9,9,0,0,0,0
sley,t5321-pack-large-objects.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t5329-pack-objects-cruft.sh,PASS,0,25,0,0,0,25,25,0,0,0,0
sley,t5400-send-pack.sh,PASS,0,17,0,0,0,17,17,0,0,0,0
sley,t5408-send-pack-stdin.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t5504-fetch-receive-strict.sh,PASS,0,29,0,0,0,29,29,0,0,0,0
sley,t5513-fetch-track.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t5521-pull-options.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t5529-push-errors.sh,FAIL,1,5,3,0,0,8,8,0,0,0,0
sley,t5537-fetch-shallow.sh,PASS,0,17,0,0,0,17,17,0,0,0,0
sley,t5552-skipping-fetch-negotiator.sh,FAIL,1,0,6,0,0,6,6,0,0,0,0
sley,t5580-unc-paths.sh,SKIP,0,0,0,0,1,0,0,0,0,0,0
sley,t5605-clone-local.sh,PASS,0,23,0,0,0,23,23,0,0,0,0
sley,t5614-clone-submodules-shallow.sh,FAIL,1,4,5,0,0,9,9,0,0,0,0
sley,t5700-protocol-v1.sh,FAIL,1,20,4,0,0,24,24,0,0,0,0
sley,t5731-protocol-v2-bundle-uri-git.sh,FAIL,1,4,4,0,0,8,8,0,0,0,0
sley,t5814-proto-disable-ext.sh,PASS,0,27,0,0,0,27,27,0,0,0,0
sley,t6005-rev-list-count.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t6013-rev-list-reverse-parents.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t6022-rev-list-missing.sh,PASS,0,40,0,0,0,40,40,0,0,0,0
sley,t6102-rev-list-unexpected-objects.sh,FAIL,1,13,9,0,0,22,22,0,0,0,0
sley,t6130-pathspec-noglob.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t6200-fmt-merge-msg.sh,PASS,0,34,0,0,3,37,37,0,0,0,0
sley,t6404-recursive-merge.sh,FAIL,1,4,2,0,0,6,6,0,0,0,0
sley,t6413-merge-crlf.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t6422-merge-rename-corner-cases.sh,FAIL,1,16,3,7,0,26,26,0,0,0,0
sley,t6430-merge-recursive.sh,FAIL,1,33,3,0,0,36,36,0,0,0,0
sley,t6438-submodule-directory-file-conflicts.sh,PASS,0,48,0,8,0,56,56,0,0,0,0
sley,t7002-mv-sparse-checkout.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t7012-skip-worktree-writing.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t7101-reset-empty-subdirs.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t7111-reset-table.sh,PASS,0,42,0,0,0,42,42,0,0,0,0
sley,t7402-submodule-rebase.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t7413-submodule-is-active.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t7422-submodule-output.sh,PASS,0,18,0,0,0,18,18,0,0,0,0
sley,t7502-commit-porcelain.sh,PASS,0,80,0,0,2,82,82,0,0,0,0
sley,t7510-signed-commit.sh,PASS,0,1,0,0,28,29,29,0,0,0,0
sley,t7518-ident-corner-cases.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t7600-merge.sh,PASS,0,81,0,0,2,83,83,0,0,0,0
sley,t7608-merge-messages.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t7701-repack-unpack-unreachable.sh,PASS,0,9,0,0,0,9,9,0,0,0,0
sley,t7813-grep-icase-iso.sh,PASS,0,2,0,0,0,2,2,0,0,0,0
sley,t8003-blame-corner-cases.sh,PASS,0,30,0,0,0,30,30,0,0,0,0
sley,t8011-blame-split-file.sh,PASS,0,10,0,0,0,10,10,0,0,0,0
sley,t9210-scalar.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t9306-fast-import-signed-tags.sh,FAIL,1,2,7,0,17,26,26,0,0,0,0
sley,t0005-signals.sh,FAIL,1,2,3,0,0,5,5,0,0,0,0
sley,t0014-alias.sh,FAIL,1,21,2,0,0,23,23,0,0,0,0
sley,t0024-crlf-archive.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t0033-safe-directory.sh,PASS,0,22,0,0,0,22,22,0,0,0,0
sley,t0055-beyond-symlinks.sh,FAIL,1,1,2,0,0,3,3,0,0,0,0
sley,t0070-fundamental.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t0100-previous.sh,PASS,0,6,0,0,0,6,6,0,0,0,0
sley,t0211-trace2-perf.sh,PASS,0,17,0,0,0,17,17,0,0,0,0
sley,t0411-clone-from-partial.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t0612-reftable-jgit-compatibility.sh,SKIP,0,0,0,0,1,0,0,0,0,0,0
sley,t1005-read-tree-reset.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t1013-read-tree-submodule.sh,PASS,0,58,0,10,0,68,68,0,0,0,0
sley,t1060-object-corruption.sh,PASS,0,16,0,1,0,17,17,0,0,0,0
sley,t1303-wacky-config.sh,PASS,0,11,0,0,0,11,11,0,0,0,0
sley,t1311-config-optional.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t1406-submodule-ref-store.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t1414-reflog-walk.sh,FAIL,1,6,6,0,0,12,12,0,0,0,0
sley,t1422-show-ref-exists.sh,PASS,0,13,0,0,0,13,13,0,0,0,0
sley,t1463-refs-optimize.sh,PASS,0,47,0,0,0,47,47,0,0,0,0
sley,t1507-rev-parse-upstream.sh,PASS,0,29,0,0,0,29,29,0,0,0,0
sley,t1515-rev-parse-outside-repo.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t1901-repo-structure.sh,FAIL,1,0,5,0,0,5,5,0,0,0,0
