label,script,command,result,ok,notok,total
full-oracle-6d144c6c-wave-2,t4048-diff-combined-binary.sh,t4048-diff-combined-binary.sh,PASS,14,0,14
full-oracle-6d144c6c-wave-2,t4056-diff-order.sh,t4056-diff-order.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-2,t4064-diff-oidfind.sh,t4064-diff-oidfind.sh,PASS,10,0,10
full-oracle-6d144c6c-wave-2,t4072-diff-max-depth.sh,t4072-diff-max-depth.sh,PASS,50,26,76
full-oracle-6d144c6c-wave-2,t4105-apply-fuzz.sh,t4105-apply-fuzz.sh,PASS,9,0,9
full-oracle-6d144c6c-wave-2,t4113-apply-ending.sh,t4113-apply-ending.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t4121-apply-diffs.sh,t4121-apply-diffs.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-2,t4129-apply-samemode.sh,t4129-apply-samemode.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-2,t4137-apply-submodule.sh,t4137-apply-submodule.sh,PASS,24,4,28
full-oracle-6d144c6c-wave-2,t4200-rerere.sh,t4200-rerere.sh,PASS,36,0,36
full-oracle-6d144c6c-wave-2,t4208-log-magic-pathspec.sh,t4208-log-magic-pathspec.sh,PASS,21,0,21
full-oracle-6d144c6c-wave-2,t4216-log-bloom.sh,t4216-log-bloom.sh,PASS,165,0,165
full-oracle-6d144c6c-wave-2,t5001-archive-attr.sh,t5001-archive-attr.sh,PASS,44,0,44
full-oracle-6d144c6c-wave-2,t5302-pack-index.sh,t5302-pack-index.sh,PASS,36,0,36
full-oracle-6d144c6c-wave-2,t5310-pack-bitmaps.sh,t5310-pack-bitmaps.sh,PASS,237,0,237
full-oracle-6d144c6c-wave-2,t5318-commit-graph.sh,t5318-commit-graph.sh,PASS,110,0,110
full-oracle-6d144c6c-wave-2,t5326-multi-pack-bitmaps.sh,t5326-multi-pack-bitmaps.sh,PASS,357,0,357
full-oracle-6d144c6c-wave-2,t5334-incremental-multi-pack-index.sh,t5334-incremental-multi-pack-index.sh,PASS,22,0,22
full-oracle-6d144c6c-wave-2,t5405-send-pack-rewind.sh,t5405-send-pack-rewind.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t5501-fetch-push-alternates.sh,t5501-fetch-push-alternates.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t5510-fetch.sh,t5510-fetch.sh,PASS,230,0,230
full-oracle-6d144c6c-wave-2,t5518-fetch-exit-status.sh,t5518-fetch-exit-status.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t5526-fetch-submodules.sh,t5526-fetch-submodules.sh,PASS,56,0,56
full-oracle-6d144c6c-wave-2,t5534-push-signed.sh,t5534-push-signed.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-2,t5546-receive-limits.sh,t5546-receive-limits.sh,PASS,17,0,17
full-oracle-6d144c6c-wave-2,t5572-pull-submodule.sh,t5572-pull-submodule.sh,PASS,61,8,69
full-oracle-6d144c6c-wave-2,t5602-clone-remote-exec.sh,t5602-clone-remote-exec.sh,PASS,3,0,3
