script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t0021-conversion.sh,t0021-conversion.sh,FAIL,FAIL,11789,11373,-416,1.037,42,1,42,1,43,43
t7700-repack.sh,t7700-repack.sh,PASS,FAIL,12969,11285,-1684,1.149,47,0,35,12,47,47
t7502-commit-porcelain.sh,t7502-commit-porcelain.sh,PASS,FAIL,12433,11160,-1273,1.114,82,0,77,5,82,82
t5703-upload-pack-ref-in-want.sh,t5703-upload-pack-ref-in-want.sh,FAIL,FAIL,6382,11116,4734,0.574,20,6,10,16,26,26
t7610-mergetool.sh,t7610-mergetool.sh,FAIL,FAIL,2515,11019,8504,0.228,0,31,21,10,31,31
t9300-fast-import.sh,t9300-fast-import.sh,FAIL,PASS,11815,10822,-993,1.092,255,1,256,0,256,256
t0601-reffiles-pack-refs.sh,t0601-reffiles-pack-refs.sh,PASS,PASS,8261,10771,2510,0.767,47,0,47,0,47,47
t3418-rebase-continue.sh,t3418-rebase-continue.sh,PASS,PASS,11068,10725,-343,1.032,30,0,30,0,30,30
t5531-deep-submodule-push.sh,t5531-deep-submodule-push.sh,FAIL,PASS,17761,10655,-7106,1.667,27,2,29,0,29,29
t6700-tree-depth.sh,t6700-tree-depth.sh,PASS,FAIL,1073,10636,9563,0.101,10,0,2,8,10,10
t6402-merge-rename.sh,t6402-merge-rename.sh,PASS,FAIL,14328,10620,-3708,1.349,46,0,36,10,46,46
t0301-credential-cache.sh,t0301-credential-cache.sh,PASS,PASS,9252,10098,846,0.916,52,0,52,0,52,52
t8002-blame.sh,t8002-blame.sh,PASS,PASS,9731,10008,277,0.972,135,0,135,0,135,135
t6500-gc.sh,t6500-gc.sh,PASS,PASS,14288,9794,-4494,1.459,35,0,35,0,35,35
t7425-submodule-gitdir-path-extension.sh,t7425-submodule-gitdir-path-extension.sh,FAIL,FAIL,3604,9785,6181,0.368,2,21,10,13,23,23
t7528-signed-commit-ssh.sh,t7528-signed-commit-ssh.sh,PASS,PASS,7972,9666,1694,0.825,26,3,29,0,29,29
t3800-mktag.sh,t3800-mktag.sh,PASS,PASS,11550,9608,-1942,1.202,151,0,151,0,151,151
t1463-refs-optimize.sh,t1463-refs-optimize.sh,PASS,PASS,7447,9594,2147,0.776,47,0,47,0,47,47
t7508-status.sh,t7508-status.sh,FAIL,FAIL,13062,9117,-3945,1.433,102,24,119,7,126,126
t3421-rebase-topology-linear.sh,t3421-rebase-topology-linear.sh,PASS,PASS,11740,9048,-2692,1.298,63,1,63,1,64,64
t0602-reffiles-fsck.sh,t0602-reffiles-fsck.sh,PASS,FAIL,9617,9032,-585,1.065,25,0,24,1,25,25
t8012-blame-colors.sh,t8012-blame-colors.sh,PASS,PASS,8385,8975,590,0.934,120,0,120,0,120,120
t7500-commit-template-squash-signoff.sh,t7500-commit-template-squash-signoff.sh,PASS,PASS,7709,8870,1161,0.869,57,0,57,0,57,57
t5528-push-default.sh,t5528-push-default.sh,PASS,PASS,11658,8727,-2931,1.336,31,1,31,1,32,32
t8001-annotate.sh,t8001-annotate.sh,PASS,PASS,7327,8513,1186,0.861,117,0,117,0,117,117
t7407-submodule-foreach.sh,t7407-submodule-foreach.sh,FAIL,FAIL,2600,8436,5836,0.308,1,22,21,2,23,23
t7601-merge-pull-config.sh,t7601-merge-pull-config.sh,FAIL,PASS,14097,8406,-5691,1.677,62,3,65,0,65,65
t0613-reftable-write-options.sh,t0613-reftable-write-options.sh,PASS,FAIL,3331,8336,5005,0.400,11,0,2,9,11,11
t0001-init.sh,init,PASS,FAIL,9355,8195,-1160,1.142,103,0,102,1,103,103
t7063-status-untracked-cache.sh,t7063-status-untracked-cache.sh,PASS,FAIL,16968,8179,-8789,2.075,58,0,46,12,58,58
t4124-apply-ws-rule.sh,t4124-apply-ws-rule.sh,PASS,FAIL,8736,8124,-612,1.075,86,0,84,2,86,86
t4205-log-pretty-formats.sh,t4205-log-pretty-formats.sh,PASS,FAIL,8104,8000,-104,1.013,123,2,120,5,125,125
t7201-co.sh,t7201-co.sh,PASS,FAIL,9461,7960,-1501,1.189,49,0,40,9,49,49
t1410-reflog.sh,t1410-reflog.sh,PASS,PASS,9429,7951,-1478,1.186,40,1,41,0,41,41
t3400-rebase.sh,t3400-rebase.sh,PASS,FAIL,7835,7798,-37,1.005,39,0,35,4,39,39
