script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t3405-rebase-malformed.sh,t3405-rebase-malformed.sh,PASS,PASS,1761,1784,23,0.987,5,0,5,0,5,5
t5325-reverse-index.sh,t5325-reverse-index.sh,PASS,FAIL,2483,1783,-700,1.393,16,0,5,11,16,16
t3505-cherry-pick-empty.sh,t3505-cherry-pick-empty.sh,PASS,PASS,1807,1763,-44,1.025,17,0,17,0,17,17
t0611-reftable-httpd.sh,t0611-reftable-httpd.sh,FAIL,PASS,1614,1756,142,0.919,0,1,1,0,1,1
t1421-reflog-write.sh,t1421-reflog-write.sh,PASS,PASS,1918,1756,-162,1.092,10,0,10,0,10,10
t5408-send-pack-stdin.sh,t5408-send-pack-stdin.sh,PASS,PASS,2185,1750,-435,1.249,10,0,10,0,10,10
t5538-push-shallow.sh,t5538-push-shallow.sh,PASS,FAIL,3797,1743,-2054,2.178,8,0,2,6,8,8
t1900-repo-info.sh,t1900-repo-info.sh,PASS,PASS,1649,1741,92,0.947,38,0,38,0,38,38
t2072-restore-pathspec-file.sh,t2072-restore-pathspec-file.sh,PASS,PASS,1868,1729,-139,1.080,12,0,12,0,12,12
t5523-push-upstream.sh,t5523-push-upstream.sh,PASS,PASS,2442,1727,-715,1.414,17,0,17,0,17,17
t5802-connect-helper.sh,t5802-connect-helper.sh,FAIL,PASS,1806,1727,-79,1.046,6,2,8,0,8,8
t3419-rebase-patch-id.sh,t3419-rebase-patch-id.sh,PASS,PASS,2110,1726,-384,1.222,8,0,8,0,8,8
t4010-diff-pathspec.sh,t4010-diff-pathspec.sh,PASS,FAIL,1702,1722,20,0.988,17,0,15,2,17,17
t2206-add-submodule-ignored.sh,t2206-add-submodule-ignored.sh,FAIL,FAIL,1313,1718,405,0.764,4,4,5,3,8,8
t4152-am-subjects.sh,t4152-am-subjects.sh,PASS,PASS,1805,1713,-92,1.054,13,0,13,0,13,13
t6403-merge-file.sh,t6403-merge-file.sh,PASS,FAIL,1647,1711,64,0.963,37,2,22,17,39,39
t5509-fetch-push-namespaces.sh,t5509-fetch-push-namespaces.sh,PASS,FAIL,3861,1703,-2158,2.267,15,0,4,11,15,15
t1007-hash-object.sh,hash-object,PASS,PASS,1889,1698,-191,1.112,40,0,40,0,40,40
t1415-worktree-refs.sh,t1415-worktree-refs.sh,PASS,FAIL,2552,1690,-862,1.510,10,0,6,4,10,10
t4048-diff-combined-binary.sh,t4048-diff-combined-binary.sh,PASS,FAIL,2131,1684,-447,1.265,14,0,4,10,14,14
t3413-rebase-hook.sh,t3413-rebase-hook.sh,PASS,PASS,1926,1682,-244,1.145,15,0,15,0,15,15
t9211-scalar-clone.sh,t9211-scalar-clone.sh,PASS,FAIL,5486,1678,-3808,3.269,14,0,2,12,14,14
t0100-previous.sh,t0100-previous.sh,PASS,FAIL,1708,1670,-38,1.023,6,0,5,1,6,6
t3423-rebase-reword.sh,t3423-rebase-reword.sh,PASS,PASS,1892,1669,-223,1.134,3,0,3,0,3,3
t1308-config-set.sh,t1308-config-set.sh,PASS,FAIL,1735,1666,-69,1.041,39,0,37,2,39,39
t3104-ls-tree-format.sh,t3104-ls-tree-format.sh,FAIL,PASS,1284,1661,377,0.773,18,1,19,0,19,19
t6404-recursive-merge.sh,t6404-recursive-merge.sh,PASS,FAIL,2249,1661,-588,1.354,6,0,4,2,6,6
t0050-filesystem.sh,t0050-filesystem.sh,PASS,FAIL,2267,1659,-608,1.366,10,3,6,7,13,13
t4032-diff-inter-hunk-context.sh,t4032-diff-inter-hunk-context.sh,PASS,FAIL,2037,1654,-383,1.232,38,0,28,10,38,38
t2204-add-ignored.sh,t2204-add-ignored.sh,PASS,PASS,1475,1652,177,0.893,47,0,47,0,47,47
t5547-push-quarantine.sh,t5547-push-quarantine.sh,PASS,PASS,2303,1646,-657,1.399,6,0,6,0,6,6
t7008-filter-branch-null-sha1.sh,t7008-filter-branch-null-sha1.sh,FAIL,FAIL,935,1645,710,0.568,5,1,3,3,6,6
t5731-protocol-v2-bundle-uri-git.sh,t5731-protocol-v2-bundle-uri-git.sh,FAIL,FAIL,417,1644,1227,0.254,0,0,4,4,0,8
t2026-checkout-pathspec-file.sh,t2026-checkout-pathspec-file.sh,PASS,PASS,1540,1643,103,0.937,11,0,11,0,11,11
t4056-diff-order.sh,t4056-diff-order.sh,PASS,PASS,1917,1636,-281,1.172,23,0,23,0,23,23
t1600-index.sh,t1600-index.sh,FAIL,PASS,1677,1628,-49,1.030,6,1,7,0,7,7
t4064-diff-oidfind.sh,t4064-diff-oidfind.sh,FAIL,PASS,1869,1623,-246,1.152,8,2,10,0,10,10
t5801-remote-helpers.sh,t5801-remote-helpers.sh,PASS,FAIL,12077,1622,-10455,7.446,34,1,4,31,35,35
t6130-pathspec-noglob.sh,t6130-pathspec-noglob.sh,PASS,PASS,1617,1619,2,0.999,21,0,21,0,21,21
t5621-clone-revision.sh,t5621-clone-revision.sh,PASS,PASS,2227,1617,-610,1.377,12,0,12,0,12,12
t0081-find-pack.sh,t0081-find-pack.sh,PASS,PASS,1677,1616,-61,1.038,4,0,4,0,4,4
t7418-submodule-sparse-gitmodules.sh,t7418-submodule-sparse-gitmodules.sh,FAIL,PASS,1186,1613,427,0.735,3,6,9,0,9,9
t9302-fast-import-unpack-limit.sh,t9302-fast-import-unpack-limit.sh,PASS,PASS,1828,1612,-216,1.134,3,0,3,0,3,3
t7517-per-repo-email.sh,t7517-per-repo-email.sh,PASS,PASS,1906,1595,-311,1.195,16,0,16,0,16,16
t7012-skip-worktree-writing.sh,t7012-skip-worktree-writing.sh,PASS,PASS,1812,1592,-220,1.138,11,0,11,0,11,11
t1015-read-index-unmerged.sh,t1015-read-index-unmerged.sh,PASS,FAIL,1618,1587,-31,1.020,6,0,5,1,6,6
t3427-rebase-subtree.sh,t3427-rebase-subtree.sh,PASS,FAIL,2526,1584,-942,1.595,3,0,1,2,3,3
t2107-update-index-basic.sh,t2107-update-index-basic.sh,PASS,PASS,1358,1569,211,0.866,10,0,10,0,10,10
t5617-clone-submodules-remote.sh,t5617-clone-submodules-remote.sh,FAIL,FAIL,1520,1569,49,0.969,1,8,5,4,9,9
t6427-diff3-conflict-markers.sh,t6427-diff3-conflict-markers.sh,PASS,FAIL,2604,1567,-1037,1.662,9,0,8,1,9,9
t1350-config-hooks-path.sh,t1350-config-hooks-path.sh,PASS,FAIL,1654,1562,-92,1.059,4,0,3,1,4,4
t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,FAIL,1934,1556,-378,1.243,6,0,5,1,6,6
t9303-fast-import-compression.sh,t9303-fast-import-compression.sh,PASS,FAIL,1622,1555,-67,1.043,16,0,8,8,16,16
t7011-skip-worktree-reading.sh,t7011-skip-worktree-reading.sh,PASS,PASS,1985,1548,-437,1.282,15,0,15,0,15,15
t1014-read-tree-confusing.sh,t1014-read-tree-confusing.sh,PASS,PASS,1568,1544,-24,1.016,28,0,28,0,28,28
t1405-main-ref-store.sh,t1405-main-ref-store.sh,PASS,PASS,1450,1531,81,0.947,16,0,16,0,16,16
t2405-worktree-submodule.sh,t2405-worktree-submodule.sh,FAIL,FAIL,1158,1523,365,0.760,0,11,4,7,11,11
t9210-scalar.sh,t9210-scalar.sh,PASS,FAIL,8543,1517,-7026,5.632,22,0,8,14,22,22
t6001-rev-list-graft.sh,t6001-rev-list-graft.sh,PASS,PASS,1580,1511,-69,1.046,14,0,14,0,14,14
t7420-submodule-set-url.sh,t7420-submodule-set-url.sh,FAIL,PASS,1040,1511,471,0.688,1,2,3,0,3,3
t7411-submodule-config.sh,t7411-submodule-config.sh,FAIL,PASS,1135,1503,368,0.755,4,16,20,0,20,20
t1414-reflog-walk.sh,t1414-reflog-walk.sh,PASS,FAIL,1574,1498,-76,1.051,12,0,5,7,12,12
t2205-add-worktree-config.sh,t2205-add-worktree-config.sh,PASS,PASS,1243,1495,252,0.831,13,0,13,0,13,13
t6004-rev-list-path-optim.sh,t6004-rev-list-path-optim.sh,PASS,PASS,1515,1492,-23,1.015,7,0,7,0,7,7
t3001-ls-files-others-exclude.sh,t3001-ls-files-others-exclude.sh,PASS,FAIL,1298,1483,185,0.875,27,0,17,10,27,27
t4132-apply-removal.sh,t4132-apply-removal.sh,PASS,FAIL,1268,1481,213,0.856,14,0,11,3,14,14
t2023-checkout-m.sh,t2023-checkout-m.sh,PASS,PASS,1864,1480,-384,1.259,5,0,5,0,5,5
t1411-reflog-show.sh,t1411-reflog-show.sh,PASS,FAIL,1550,1477,-73,1.049,17,0,10,7,17,17
t6432-merge-recursive-space-options.sh,t6432-merge-recursive-space-options.sh,PASS,FAIL,1467,1477,10,0.993,11,0,10,1,11,11
t7811-grep-open.sh,t7811-grep-open.sh,PASS,PASS,1805,1475,-330,1.224,10,0,10,0,10,10
t2108-update-index-refresh-racy.sh,t2108-update-index-refresh-racy.sh,PASS,PASS,1699,1465,-234,1.160,6,0,6,0,6,6
t7608-merge-messages.sh,t7608-merge-messages.sh,FAIL,PASS,1528,1458,-70,1.048,4,1,5,0,5,5
t0068-for-each-repo.sh,t0068-for-each-repo.sh,PASS,FAIL,2201,1456,-745,1.512,5,0,4,1,5,5
t4104-apply-boundary.sh,t4104-apply-boundary.sh,PASS,PASS,1607,1452,-155,1.107,24,0,24,0,24,24
t1511-rev-parse-caret.sh,t1511-rev-parse-caret.sh,PASS,FAIL,1927,1451,-476,1.328,17,0,10,7,17,17
t2200-add-update.sh,t2200-add-update.sh,PASS,FAIL,1648,1447,-201,1.139,20,0,18,2,20,20
t1504-ceiling-dirs.sh,t1504-ceiling-dirs.sh,PASS,FAIL,1548,1440,-108,1.075,44,0,42,2,44,44
t1005-read-tree-reset.sh,t1005-read-tree-reset.sh,PASS,PASS,1754,1433,-321,1.224,7,0,7,0,7,7
t5536-fetch-conflicts.sh,t5536-fetch-conflicts.sh,PASS,FAIL,2025,1431,-594,1.415,7,0,4,3,7,7
t3704-add-pathspec-file.sh,t3704-add-pathspec-file.sh,PASS,PASS,1209,1430,221,0.845,11,0,11,0,11,11
t6019-rev-list-ancestry-path.sh,t6019-rev-list-ancestry-path.sh,PASS,FAIL,2268,1425,-843,1.592,18,0,11,7,18,18
t7526-commit-pathspec-file.sh,t7526-commit-pathspec-file.sh,PASS,PASS,1422,1425,3,0.998,11,0,11,0,11,11
t3428-rebase-signoff.sh,t3428-rebase-signoff.sh,PASS,FAIL,1802,1419,-383,1.270,7,0,6,1,7,7
t6400-merge-df.sh,t6400-merge-df.sh,PASS,PASS,1748,1419,-329,1.232,7,0,7,0,7,7
t5001-archive-attr.sh,t5001-archive-attr.sh,PASS,PASS,1394,1410,16,0.989,44,0,44,0,44,44
t6115-rev-list-du.sh,t6115-rev-list-du.sh,PASS,PASS,1559,1400,-159,1.114,17,0,17,0,17,17
t4058-diff-duplicates.sh,t4058-diff-duplicates.sh,PASS,PASS,1422,1399,-23,1.016,13,3,16,0,16,16
t7511-status-index.sh,t7511-status-index.sh,PASS,PASS,1359,1387,28,0.980,24,0,24,0,24,24
t7604-merge-custom-message.sh,t7604-merge-custom-message.sh,PASS,PASS,1585,1387,-198,1.143,8,0,8,0,8,8
t5402-post-merge-hook.sh,t5402-post-merge-hook.sh,PASS,PASS,1558,1371,-187,1.136,7,0,7,0,7,7
t9306-fast-import-signed-tags.sh,t9306-fast-import-signed-tags.sh,PASS,FAIL,1872,1370,-502,1.366,26,0,19,7,26,26
t5313-pack-bounds-checks.sh,t5313-pack-bounds-checks.sh,PASS,FAIL,1496,1363,-133,1.098,9,0,3,6,9,9
t3040-subprojects-basic.sh,t3040-subprojects-basic.sh,PASS,PASS,1629,1362,-267,1.196,11,0,11,0,11,11
t5320-delta-islands.sh,t5320-delta-islands.sh,PASS,FAIL,1622,1359,-263,1.194,15,0,3,12,15,15
t7605-merge-resolve.sh,t7605-merge-resolve.sh,PASS,PASS,1524,1358,-166,1.122,4,0,4,0,4,4
t4050-diff-histogram.sh,t4050-diff-histogram.sh,PASS,FAIL,1043,1348,305,0.774,10,0,8,2,10,10
t4053-diff-no-index.sh,t4053-diff-no-index.sh,PASS,PASS,1400,1340,-60,1.045,41,0,41,0,41,41
t4023-diff-rename-typechange.sh,t4023-diff-rename-typechange.sh,PASS,FAIL,1372,1337,-35,1.026,4,0,1,3,4,4
t4128-apply-root.sh,t4128-apply-root.sh,PASS,PASS,1313,1336,23,0.983,12,0,12,0,12,12
t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,PASS,1725,1334,-391,1.293,7,0,7,0,7,7
t6005-rev-list-count.sh,t6005-rev-list-count.sh,PASS,PASS,1563,1334,-229,1.172,6,0,6,0,6,6
t5815-submodule-protos.sh,t5815-submodule-protos.sh,FAIL,PASS,601,1330,729,0.452,3,5,8,0,8,8
t3011-common-prefixes-and-directory-traversal.sh,t3011-common-prefixes-and-directory-traversal.sh,PASS,PASS,1398,1329,-69,1.052,20,1,21,0,21,21
t6060-merge-index.sh,t6060-merge-index.sh,FAIL,PASS,1174,1327,153,0.885,4,3,7,0,7,7
t5619-clone-local-ambiguous-transport.sh,t5619-clone-local-ambiguous-transport.sh,FAIL,FAIL,1538,1322,-216,1.163,0,2,0,2,2,2
t1090-sparse-checkout-scope.sh,t1090-sparse-checkout-scope.sh,PASS,FAIL,1538,1320,-218,1.165,7,0,4,3,7,7
t1051-large-conversion.sh,t1051-large-conversion.sh,PASS,PASS,1352,1308,-44,1.034,12,0,12,0,12,12
t7413-submodule-is-active.sh,t7413-submodule-is-active.sh,FAIL,PASS,1212,1305,93,0.929,1,9,10,0,10,10
t4207-log-decoration-colors.sh,t4207-log-decoration-colors.sh,PASS,FAIL,1800,1301,-499,1.384,4,0,1,3,4,4
t9700-perl-git.sh,t9700-perl-git.sh,PASS,PASS,1417,1301,-116,1.089,3,0,3,0,3,3
t2021-checkout-overwrite.sh,t2021-checkout-overwrite.sh,PASS,FAIL,1483,1299,-184,1.142,9,0,4,5,9,9
t3429-rebase-edit-todo.sh,t3429-rebase-edit-todo.sh,PASS,PASS,1464,1298,-166,1.128,7,0,7,0,7,7
t3503-cherry-pick-root.sh,t3503-cherry-pick-root.sh,FAIL,PASS,1059,1291,232,0.820,4,2,6,0,6,6
t4252-am-options.sh,t4252-am-options.sh,PASS,FAIL,1608,1289,-319,1.247,8,0,7,1,8,8
t4116-apply-reverse.sh,t4116-apply-reverse.sh,PASS,PASS,1281,1284,3,0.998,7,0,7,0,7,7
t4026-color.sh,t4026-color.sh,PASS,FAIL,1369,1283,-86,1.067,34,0,17,17,34,34
t0411-clone-from-partial.sh,t0411-clone-from-partial.sh,PASS,PASS,1542,1280,-262,1.205,7,0,7,0,7,7
t4012-diff-binary.sh,t4012-diff-binary.sh,PASS,FAIL,1445,1280,-165,1.129,13,0,12,1,13,13
t7301-clean-interactive.sh,t7301-clean-interactive.sh,PASS,FAIL,1077,1276,199,0.844,23,0,6,17,23,23
t3408-rebase-multi-line.sh,t3408-rebase-multi-line.sh,PASS,PASS,1203,1274,71,0.944,2,0,2,0,2,2
t2103-update-index-ignore-missing.sh,t2103-update-index-ignore-missing.sh,PASS,PASS,1345,1272,-73,1.057,5,0,5,0,5,5
t6102-rev-list-unexpected-objects.sh,t6102-rev-list-unexpected-objects.sh,PASS,FAIL,1221,1272,51,0.960,22,0,13,9,22,22
t8007-cat-file-textconv.sh,t8007-cat-file-textconv.sh,PASS,PASS,1376,1271,-105,1.083,15,0,15,0,15,15
t2404-worktree-config.sh,t2404-worktree-config.sh,PASS,FAIL,1594,1268,-326,1.257,12,0,10,2,12,12
t7521-ignored-mode.sh,t7521-ignored-mode.sh,PASS,PASS,1411,1268,-143,1.113,12,0,12,0,12,12
t4055-diff-context.sh,t4055-diff-context.sh,PASS,FAIL,1234,1267,33,0.974,11,0,10,1,11,11
t4115-apply-symlink.sh,t4115-apply-symlink.sh,PASS,FAIL,1390,1264,-126,1.100,8,0,5,3,8,8
t1306-xdg-files.sh,t1306-xdg-files.sh,PASS,PASS,1335,1263,-72,1.057,21,0,21,0,21,21
t3101-ls-tree-dirname.sh,t3101-ls-tree-dirname.sh,PASS,PASS,1142,1263,121,0.904,19,0,19,0,19,19
t2006-checkout-index-basic.sh,t2006-checkout-index-basic.sh,FAIL,FAIL,1295,1262,-33,1.026,8,1,7,2,9,9
t5305-include-tag.sh,t5305-include-tag.sh,PASS,FAIL,1777,1261,-516,1.409,15,0,9,6,15,15
t6409-merge-subtree.sh,t6409-merge-subtree.sh,PASS,FAIL,2188,1260,-928,1.737,12,0,7,5,12,12
t4119-apply-config.sh,t4119-apply-config.sh,PASS,PASS,1300,1257,-43,1.034,11,0,11,0,11,11
t5532-fetch-proxy.sh,t5532-fetch-proxy.sh,PASS,FAIL,1147,1257,110,0.912,5,0,4,1,5,5
t6439-merge-co-error-msgs.sh,t6439-merge-co-error-msgs.sh,PASS,FAIL,1904,1254,-650,1.518,6,0,1,5,6,6
t2022-checkout-paths.sh,t2022-checkout-paths.sh,PASS,FAIL,1333,1253,-80,1.064,5,0,3,2,5,5
t5306-pack-nobase.sh,t5306-pack-nobase.sh,PASS,PASS,1471,1252,-219,1.175,4,0,4,0,4,4
t7510-signed-commit.sh,t7510-signed-commit.sh,PASS,PASS,1149,1246,97,0.922,29,0,29,0,29,29
t6411-merge-filemode.sh,t6411-merge-filemode.sh,FAIL,FAIL,1412,1245,-167,1.134,18,1,17,2,19,19
t5312-prune-corruption.sh,t5312-prune-corruption.sh,PASS,FAIL,1642,1235,-407,1.330,11,0,7,4,11,11
t1422-show-ref-exists.sh,t1422-show-ref-exists.sh,PASS,PASS,1293,1234,-59,1.048,13,0,13,0,13,13
t4212-log-corrupt.sh,t4212-log-corrupt.sh,PASS,PASS,1563,1234,-329,1.267,13,0,13,0,13,13
t5610-clone-detached.sh,t5610-clone-detached.sh,PASS,PASS,1634,1231,-403,1.327,12,1,13,0,13,13
t1514-rev-parse-push.sh,t1514-rev-parse-push.sh,PASS,PASS,1586,1221,-365,1.299,9,0,9,0,9,9
t4257-am-interactive.sh,t4257-am-interactive.sh,PASS,PASS,1357,1220,-137,1.112,4,0,4,0,4,4
t4033-diff-patience.sh,t4033-diff-patience.sh,PASS,FAIL,1190,1219,29,0.976,11,0,9,2,11,11
t1462-refs-exists.sh,t1462-refs-exists.sh,PASS,PASS,1153,1217,64,0.947,13,0,13,0,13,13
t0007-git-var.sh,t0007-git-var.sh,PASS,PASS,1722,1214,-508,1.418,27,0,27,0,27,27
t5503-tagfollow.sh,t5503-tagfollow.sh,PASS,FAIL,2825,1214,-1611,2.327,12,0,6,6,12,12
t5309-pack-delta-cycles.sh,t5309-pack-delta-cycles.sh,PASS,FAIL,1276,1212,-64,1.053,7,0,4,3,7,7
t4111-apply-subdir.sh,t4111-apply-subdir.sh,PASS,PASS,3092,1210,-1882,2.555,10,0,10,0,10,10
t3000-ls-files-others.sh,ls-files,PASS,PASS,1081,1209,128,0.894,15,0,15,0,15,15
t4042-diff-textconv-caching.sh,t4042-diff-textconv-caching.sh,PASS,FAIL,1146,1207,61,0.949,8,0,5,3,8,8
t3440-rebase-trailer.sh,t3440-rebase-trailer.sh,PASS,FAIL,2071,1204,-867,1.720,10,0,1,9,10,10
t5525-fetch-tagopt.sh,t5525-fetch-tagopt.sh,PASS,PASS,1474,1200,-274,1.228,5,0,5,0,5,5
t4040-whitespace-status.sh,t4040-whitespace-status.sh,PASS,FAIL,1099,1197,98,0.918,11,0,7,4,11,11
t7525-status-rename.sh,t7525-status-rename.sh,PASS,PASS,1277,1197,-80,1.067,15,0,15,0,15,15
t6431-merge-criscross.sh,t6431-merge-criscross.sh,PASS,PASS,1646,1194,-452,1.379,2,0,2,0,2,2
t1309-early-config.sh,t1309-early-config.sh,PASS,PASS,1078,1191,113,0.905,8,2,8,2,10,10
t8009-blame-vs-topicbranches.sh,t8009-blame-vs-topicbranches.sh,PASS,FAIL,1113,1188,75,0.937,2,0,1,1,2,2
t8011-blame-split-file.sh,t8011-blame-split-file.sh,PASS,PASS,1360,1185,-175,1.148,10,0,10,0,10,10
t3100-ls-tree-restrict.sh,t3100-ls-tree-restrict.sh,PASS,PASS,1089,1178,89,0.924,14,0,14,0,14,14
t3050-subprojects-fetch.sh,t3050-subprojects-fetch.sh,PASS,PASS,1308,1177,-131,1.111,4,0,4,0,4,4
t3060-ls-files-with-tree.sh,t3060-ls-files-with-tree.sh,PASS,PASS,1291,1175,-116,1.099,8,0,8,0,8,8
t9304-fast-import-marks.sh,t9304-fast-import-marks.sh,FAIL,FAIL,1110,1174,64,0.945,4,4,7,1,8,8
t3504-cherry-pick-rerere.sh,t3504-cherry-pick-rerere.sh,PASS,FAIL,2879,1172,-1707,2.456,9,0,4,5,9,9
t5527-fetch-odd-refs.sh,t5527-fetch-odd-refs.sh,PASS,PASS,1166,1171,5,0.996,5,0,5,0,5,5
t0002-gitfile.sh,t0002-gitfile.sh,PASS,PASS,1465,1168,-297,1.254,14,0,14,0,14,14
t3500-cherry.sh,t3500-cherry.sh,PASS,FAIL,1938,1159,-779,1.672,5,0,0,5,5,5
t6417-merge-ours-theirs.sh,t6417-merge-ours-theirs.sh,PASS,FAIL,2027,1153,-874,1.758,7,0,5,2,7,7
t1503-rev-parse-verify.sh,t1503-rev-parse-verify.sh,PASS,PASS,1342,1151,-191,1.166,12,0,12,0,12,12
t3013-ls-files-format.sh,t3013-ls-files-format.sh,PASS,PASS,1283,1150,-133,1.116,20,0,20,0,20,20
t5530-upload-pack-error.sh,t5530-upload-pack-error.sh,PASS,FAIL,1680,1148,-532,1.463,11,0,3,8,11,11
t5330-no-lazy-fetch-with-commit-graph.sh,t5330-no-lazy-fetch-with-commit-graph.sh,PASS,FAIL,1345,1147,-198,1.173,4,0,2,2,4,4
t4011-diff-symlink.sh,t4011-diff-symlink.sh,PASS,FAIL,1369,1144,-225,1.197,8,0,5,3,8,8
t0210-trace2-normal.sh,t0210-trace2-normal.sh,PASS,PASS,1510,1142,-368,1.322,14,0,14,0,14,14
t2201-add-update-typechange.sh,t2201-add-update-typechange.sh,PASS,FAIL,1189,1139,-50,1.044,6,0,2,4,6,6
t1303-wacky-config.sh,t1303-wacky-config.sh,PASS,PASS,1016,1131,115,0.898,11,0,11,0,11,11
t2401-worktree-prune.sh,t2401-worktree-prune.sh,PASS,PASS,1415,1129,-286,1.253,13,0,13,0,13,13
t5730-protocol-v2-bundle-uri-file.sh,t5730-protocol-v2-bundle-uri-file.sh,PASS,FAIL,1991,1129,-862,1.764,8,0,6,2,8,8
t7516-commit-races.sh,t7516-commit-races.sh,PASS,FAIL,1379,1129,-250,1.221,2,0,0,2,2,2
t3300-funny-names.sh,t3300-funny-names.sh,PASS,FAIL,1200,1125,-75,1.067,21,0,13,8,21,21
t4126-apply-empty.sh,t4126-apply-empty.sh,PASS,FAIL,1129,1125,-4,1.004,8,0,4,4,8,8
t3320-notes-merge-worktrees.sh,t3320-notes-merge-worktrees.sh,PASS,FAIL,1109,1118,9,0.992,9,0,7,2,9,9
t2027-checkout-track.sh,t2027-checkout-track.sh,PASS,FAIL,2267,1112,-1155,2.039,5,0,3,2,5,5
t4131-apply-fake-ancestor.sh,t4131-apply-fake-ancestor.sh,PASS,PASS,1124,1112,-12,1.011,3,0,3,0,3,3
t2025-checkout-no-overlay.sh,t2025-checkout-no-overlay.sh,PASS,PASS,1377,1106,-271,1.245,6,0,6,0,6,6
t7606-merge-custom.sh,t7606-merge-custom.sh,PASS,FAIL,2188,1104,-1084,1.982,4,0,2,2,4,4
t1505-rev-parse-last.sh,t1505-rev-parse-last.sh,PASS,PASS,1149,1102,-47,1.043,7,0,7,0,7,7
t3904-stash-patch.sh,t3904-stash-patch.sh,PASS,FAIL,2346,1100,-1246,2.133,10,0,4,6,10,10
t6405-merge-symlinks.sh,t6405-merge-symlinks.sh,PASS,FAIL,1332,1097,-235,1.214,7,0,6,1,7,7
t1408-packed-refs.sh,t1408-packed-refs.sh,PASS,PASS,1181,1096,-85,1.078,3,0,3,0,3,3
t4070-diff-pairs.sh,t4070-diff-pairs.sh,FAIL,FAIL,996,1092,96,0.912,2,5,1,6,7,7
t0026-eol-config.sh,t0026-eol-config.sh,PASS,PASS,986,1090,104,0.905,6,0,6,0,6,6
t4022-diff-rewrite.sh,t4022-diff-rewrite.sh,PASS,FAIL,917,1089,172,0.842,11,0,5,6,11,11
t4100-apply-stat.sh,t4100-apply-stat.sh,PASS,PASS,1109,1088,-21,1.019,25,0,25,0,25,25
t5322-pack-objects-sparse.sh,t5322-pack-objects-sparse.sh,PASS,PASS,1198,1087,-111,1.102,11,0,11,0,11,11
t2050-git-dir-relative.sh,t2050-git-dir-relative.sh,PASS,PASS,986,1086,100,0.908,4,0,4,0,4,4
t7817-grep-sparse-checkout.sh,t7817-grep-sparse-checkout.sh,FAIL,FAIL,700,1084,384,0.646,0,8,5,3,8,8
t1409-avoid-packing-refs.sh,t1409-avoid-packing-refs.sh,PASS,PASS,1162,1075,-87,1.081,11,0,11,0,11,11
t5609-clone-branch.sh,t5609-clone-branch.sh,PASS,PASS,1373,1074,-299,1.278,7,0,7,0,7,7
t7010-setup.sh,t7010-setup.sh,PASS,PASS,1082,1074,-8,1.007,16,0,16,0,16,16
t4140-apply-ita.sh,t4140-apply-ita.sh,PASS,FAIL,1294,1071,-223,1.208,7,0,2,5,7,7
t5519-push-alternates.sh,t5519-push-alternates.sh,PASS,PASS,2211,1064,-1147,2.078,8,0,8,0,8,8
t9003-help-autocorrect.sh,t9003-help-autocorrect.sh,PASS,FAIL,1640,1054,-586,1.556,10,0,1,6,10,7
t0091-bugreport.sh,t0091-bugreport.sh,PASS,FAIL,938,1037,99,0.905,13,0,9,4,13,13
t5613-info-alternate.sh,t5613-info-alternate.sh,PASS,FAIL,1909,1034,-875,1.846,13,0,10,3,13,13
t4007-rename-3.sh,t4007-rename-3.sh,PASS,FAIL,968,1030,62,0.940,13,0,11,2,13,13
t1502-rev-parse-parseopt.sh,t1502-rev-parse-parseopt.sh,PASS,PASS,958,1028,70,0.932,37,0,37,0,37,37
t3417-rebase-whitespace-fix.sh,t3417-rebase-whitespace-fix.sh,PASS,FAIL,1752,1027,-725,1.706,4,0,1,3,4,4
t5535-fetch-push-symref.sh,t5535-fetch-push-symref.sh,PASS,FAIL,1514,1025,-489,1.477,3,0,2,1,3,3
t0041-usage.sh,t0041-usage.sh,PASS,FAIL,1154,1021,-133,1.130,16,0,10,6,16,16
t3509-cherry-pick-merge-df.sh,t3509-cherry-pick-merge-df.sh,FAIL,FAIL,1295,1020,-275,1.270,7,2,6,3,9,9
t4120-apply-popt.sh,t4120-apply-popt.sh,PASS,PASS,998,1009,11,0.989,12,0,12,0,12,12
t8004-blame-with-conflicts.sh,t8004-blame-with-conflicts.sh,PASS,PASS,924,1008,84,0.917,3,0,3,0,3,3
t1010-mktree.sh,t1010-mktree.sh,PASS,FAIL,1132,1004,-128,1.127,8,0,6,2,8,8
t6011-rev-list-with-bad-commit.sh,t6011-rev-list-with-bad-commit.sh,PASS,FAIL,1032,1004,-28,1.028,6,0,3,3,6,6
t2101-update-index-reupdate.sh,t2101-update-index-reupdate.sh,PASS,PASS,1025,1003,-22,1.022,7,0,7,0,7,7
t3304-notes-mixed.sh,t3304-notes-mixed.sh,PASS,PASS,1064,1002,-62,1.062,6,0,6,0,6,6
t5301-sliding-window.sh,t5301-sliding-window.sh,PASS,PASS,1159,1002,-157,1.157,6,0,6,0,6,6
t6407-merge-binary.sh,t6407-merge-binary.sh,FAIL,PASS,1197,1002,-195,1.195,2,1,3,0,3,3
