label,script,command,result,elapsed_ms,ok,notok,total,plan_total
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4010-diff-pathspec.sh,t4010-diff-pathspec.sh,PASS,1702,17,0,17,17
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4039-diff-assume-unchanged.sh,t4039-diff-assume-unchanged.sh,PASS,918,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4058-diff-duplicates.sh,t4058-diff-duplicates.sh,PASS,1422,13,3,16,16
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4107-apply-ignore-whitespace.sh,t4107-apply-ignore-whitespace.sh,PASS,790,11,0,11,11
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4132-apply-removal.sh,t4132-apply-removal.sh,PASS,1268,14,0,14,14
git-baseline-v2.55.0-20260710T044412Z-wave-1,t4300-merge-tree.sh,t4300-merge-tree.sh,PASS,7223,22,0,22,22
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5503-tagfollow.sh,t5503-tagfollow.sh,PASS,2825,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5531-deep-submodule-push.sh,t5531-deep-submodule-push.sh,FAIL,17761,27,2,29,29
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5552-skipping-fetch-negotiator.sh,t5552-skipping-fetch-negotiator.sh,PASS,32121,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5606-clone-options.sh,t5606-clone-options.sh,FAIL,3695,20,1,21,21
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5621-clone-revision.sh,t5621-clone-revision.sh,PASS,2227,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7007-show.sh,t7007-show.sh,PASS,2637,18,0,18,18
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0010-racy-git.sh,t0010-racy-git.sh,PASS,6040,10,0,10,10
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0203-gettext-setlocale-sanity.sh,t0203-gettext-setlocale-sanity.sh,FAIL,524,0,0,0,
git-baseline-v2.55.0-20260710T044412Z-wave-1,t0303-credential-external.sh,t0303-credential-external.sh,PASS,4651,23,0,23,23
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3402-rebase-merge.sh,t3402-rebase-merge.sh,PASS,4191,13,0,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3419-rebase-patch-id.sh,t3419-rebase-patch-id.sh,PASS,2110,8,0,8,8
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3434-rebase-i18n.sh,t3434-rebase-i18n.sh,PASS,2990,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3503-cherry-pick-root.sh,t3503-cherry-pick-root.sh,FAIL,1059,4,2,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-1,t3910-mac-os-precompose.sh,t3910-mac-os-precompose.sh,PASS,3072,28,1,29,29
git-baseline-v2.55.0-20260710T044412Z-wave-1,t5710-promisor-remote-capability.sh,t5710-promisor-remote-capability.sh,PASS,12210,24,0,24,24
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6416-recursive-corner-cases.sh,t6416-recursive-corner-cases.sh,PASS,19369,37,3,40,40
git-baseline-v2.55.0-20260710T044412Z-wave-1,t6431-merge-criscross.sh,t6431-merge-criscross.sh,PASS,1646,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7011-skip-worktree-reading.sh,t7011-skip-worktree-reading.sh,PASS,1985,15,0,15,15
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7417-submodule-path-url.sh,t7417-submodule-path-url.sh,FAIL,821,2,3,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7504-commit-msg-hook.sh,t7504-commit-msg-hook.sh,PASS,4709,29,1,30,30
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7524-commit-summary.sh,t7524-commit-summary.sh,PASS,802,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-1,t7815-grep-binary.sh,t7815-grep-binary.sh,PASS,1748,22,0,22,22
git-baseline-v2.55.0-20260710T044412Z-wave-1,t9302-fast-import-unpack-limit.sh,t9302-fast-import-unpack-limit.sh,PASS,1828,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-1,t9901-git-web--browse.sh,t9901-git-web--browse.sh,FAIL,743,0,5,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0007-git-var.sh,t0007-git-var.sh,PASS,1722,27,0,27,27
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1007-hash-object.sh,hash-object,PASS,1889,40,0,40,40
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1450-fsck.sh,t1450-fsck.sh,PASS,21027,96,0,96,96
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1510-repo-setup.sh,t1510-repo-setup.sh,PASS,17679,109,0,109,109
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2004-checkout-cache-temp.sh,t2004-checkout-cache-temp.sh,PASS,1405,23,0,23,23
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3104-ls-tree-format.sh,t3104-ls-tree-format.sh,FAIL,1284,18,1,19,19
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4301-merge-tree-write-tree.sh,t4301-merge-tree-write-tree.sh,PASS,7886,44,0,44,44
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2402-worktree-list.sh,t2402-worktree-list.sh,PASS,4334,27,0,27,27
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5604-clone-reference.sh,t5604-clone-reference.sh,PASS,6018,35,0,35,35
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2407-worktree-heads.sh,t2407-worktree-heads.sh,PASS,3880,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1423-ref-backend.sh,t1423-ref-backend.sh,PASS,13598,36,0,36,36
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5545-push-options.sh,t5545-push-options.sh,FAIL,10236,9,4,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-2,t8020-last-modified.sh,t8020-last-modified.sh,PASS,4502,28,0,28,28
