target,script,cell,status,raw_result,directive,description
"sley","t3701-add-interactive.sh","122","PASS","ok","","stash save rejects invalid --no-auto-advance options"
"sley","t3701-add-interactive.sh","123","PASS","ok","","stash push rejects invalid --no-auto-advance options"
"sley","t3701-add-interactive.sh","124","PASS","ok","","manual advance ("">"") moves to next file with --no-auto-advance"
"sley","t3701-add-interactive.sh","125","PASS","ok","","select n on a hunk, go to another file, come back and change to y stages"
"sley","t3701-add-interactive.sh","126","PASS","ok","","select y on a hunk, go to another file, come back and change to n does not stage"
"sley","t3701-add-interactive.sh","127","PASS","ok","","deciding all hunks in a file does not auto advance"
"sley","t3701-add-interactive.sh","128","PASS","ok","","HUNKS SUMMARY does not show in help text when there are undecided hunks"
"sley","t3701-add-interactive.sh","129","PASS","ok","","help text shows HUNK SUMMARY when all hunks have been decided"
"sley","t3701-add-interactive.sh","130","PASS","ok","","selective staging across multiple files with --no-advance"
"sley","t5319-multi-pack-index.sh","1","PASS","ok","","setup"
"sley","t5319-multi-pack-index.sh","2","PASS","ok","","don't write midx with no packs"
"sley","t5319-multi-pack-index.sh","3","PASS","ok","","warn if a midx contains no oid"
"sley","t5319-multi-pack-index.sh","4","PASS","ok","","create objects"
"sley","t5319-multi-pack-index.sh","5","PASS","ok","","write midx with one v1 pack"
"sley","t5319-multi-pack-index.sh","6","PASS","ok","","write midx with one v2 pack"
"sley","t5319-multi-pack-index.sh","7","PASS","ok","","check normal git operations: one v2 pack"
"sley","t5319-multi-pack-index.sh","8","PASS","ok","","corrupt idx reports errors"
"sley","t5319-multi-pack-index.sh","9","PASS","ok","","add more objects"
"sley","t5319-multi-pack-index.sh","10","PASS","ok","","write midx with two packs"
"sley","t5319-multi-pack-index.sh","11","PASS","ok","","check normal git operations: two packs"
"sley","t5319-multi-pack-index.sh","12","PASS","ok","","write midx with --stdin-packs"
"sley","t5319-multi-pack-index.sh","13","PASS","ok","","check normal git operations: mixed mode (one pack + extra)"
"sley","t5319-multi-pack-index.sh","14","PASS","ok","","write with no objects and preferred pack"
"sley","t5319-multi-pack-index.sh","15","PASS","ok","","write progress off for redirected stderr"
"sley","t5319-multi-pack-index.sh","16","PASS","ok","","write force progress on for stderr"
"sley","t5319-multi-pack-index.sh","17","PASS","ok","","write with the --no-progress option"
"sley","t5319-multi-pack-index.sh","18","PASS","ok","","add more packs"
"sley","t5319-multi-pack-index.sh","19","PASS","ok","","check normal git operations: mixed mode (two packs + extra)"
"sley","t5319-multi-pack-index.sh","20","PASS","ok","","write midx with twelve packs"
"sley","t5319-multi-pack-index.sh","21","PASS","ok","","check normal git operations: twelve packs"
"sley","t5319-multi-pack-index.sh","22","PASS","ok","","multi-pack-index *.rev cleanup with --object-dir"
"sley","t5319-multi-pack-index.sh","23","PASS","ok","","warn on improper hash version"
"sley","t5319-multi-pack-index.sh","24","PASS","ok","","midx picks objects from preferred pack"
"sley","t5319-multi-pack-index.sh","25","PASS","ok","","preferred packs must be non-empty"
"sley","t5319-multi-pack-index.sh","26","PASS","ok","","preferred pack from existing MIDX without bitmaps"
"sley","t5319-multi-pack-index.sh","27","PASS","ok","","preferred pack cannot be determined without bitmap"
"sley","t5319-multi-pack-index.sh","28","PASS","ok","","up-to-date multi-pack-index is retained"
"sley","t5319-multi-pack-index.sh","29","PASS","ok","","verify multi-pack-index success"
"sley","t5319-multi-pack-index.sh","30","PASS","ok","","verify progress off for redirected stderr"
"sley","t5319-multi-pack-index.sh","31","PASS","ok","","verify force progress on for stderr"
"sley","t5319-multi-pack-index.sh","32","PASS","ok","","verify with the --no-progress option"
"sley","t5319-multi-pack-index.sh","33","PASS","ok","","verify bad signature"
"sley","t5319-multi-pack-index.sh","34","PASS","ok","","verify bad version"
"sley","t5319-multi-pack-index.sh","35","PASS","ok","","verify bad OID version"
"sley","t5319-multi-pack-index.sh","36","PASS","ok","","verify truncated chunk count"
"sley","t5319-multi-pack-index.sh","37","PASS","ok","","verify extended chunk count"
"sley","t5319-multi-pack-index.sh","38","PASS","ok","","verify missing required chunk"
"sley","t5319-multi-pack-index.sh","39","PASS","ok","","verify invalid chunk offset"
"sley","t5319-multi-pack-index.sh","40","PASS","ok","","verify missing pack"
"sley","t5319-multi-pack-index.sh","41","PASS","ok","","verify oid fanout out of order"
"sley","t5319-multi-pack-index.sh","42","PASS","ok","","verify oid lookup out of order"
"sley","t5319-multi-pack-index.sh","43","PASS","ok","","verify incorrect pack-int-id"
"sley","t5319-multi-pack-index.sh","44","PASS","ok","","verify incorrect offset"
"sley","t5319-multi-pack-index.sh","45","PASS","ok","","git-fsck incorrect offset"
"sley","t5319-multi-pack-index.sh","46","PASS","ok","","git fsck shows MIDX output with --progress"
"sley","t5319-multi-pack-index.sh","47","PASS","ok","","git fsck suppresses MIDX output with --no-progress"
"sley","t5319-multi-pack-index.sh","48","PASS","ok","","corrupt MIDX is not reused"
"sley","t5319-multi-pack-index.sh","49","PASS","ok","","verify incorrect checksum"
"sley","t5319-multi-pack-index.sh","50","PASS","ok","","setup for v1-specific fsck tests"
"sley","t5319-multi-pack-index.sh","51","PASS","ok","","verify packnames out of order (v1)"
"sley","t5319-multi-pack-index.sh","52","PASS","ok","","repack progress off for redirected stderr"
"sley","t5319-multi-pack-index.sh","53","PASS","ok","","repack force progress on for stderr"
"sley","t5319-multi-pack-index.sh","54","PASS","ok","","repack with the --no-progress option"
"sley","t5319-multi-pack-index.sh","55","PASS","ok","","repack removes multi-pack-index when deleting packs"
"sley","t5319-multi-pack-index.sh","56","PASS","ok","","repack preserves multi-pack-index when creating packs"
"sley","t5319-multi-pack-index.sh","57","PASS","ok","","check normal git operations: after repack"
"sley","t5319-multi-pack-index.sh","58","PASS","ok","","multi-pack-index and pack-bitmap"
"sley","t5319-multi-pack-index.sh","59","PASS","ok","","multi-pack-index and alternates"
"sley","t5319-multi-pack-index.sh","60","PASS","ok","","check normal git operations: with alternate (local midx)"
"sley","t5319-multi-pack-index.sh","61","PASS","ok","","multi-pack-index in an alternate"
