target,script,cell,status,raw_result,directive,description
"oracle","t5319-multi-pack-index.sh","35","PASS","ok","","verify bad OID version"
"oracle","t5319-multi-pack-index.sh","36","PASS","ok","","verify truncated chunk count"
"oracle","t5319-multi-pack-index.sh","37","PASS","ok","","verify extended chunk count"
"oracle","t5319-multi-pack-index.sh","38","PASS","ok","","verify missing required chunk"
"oracle","t5319-multi-pack-index.sh","39","PASS","ok","","verify invalid chunk offset"
"oracle","t5319-multi-pack-index.sh","40","PASS","ok","","verify missing pack"
"oracle","t5319-multi-pack-index.sh","41","PASS","ok","","verify oid fanout out of order"
"oracle","t5319-multi-pack-index.sh","42","PASS","ok","","verify oid lookup out of order"
"oracle","t5319-multi-pack-index.sh","43","PASS","ok","","verify incorrect pack-int-id"
"oracle","t5319-multi-pack-index.sh","44","PASS","ok","","verify incorrect offset"
"oracle","t5319-multi-pack-index.sh","45","PASS","ok","","git-fsck incorrect offset"
"oracle","t5319-multi-pack-index.sh","46","PASS","ok","","git fsck shows MIDX output with --progress"
"oracle","t5319-multi-pack-index.sh","47","PASS","ok","","git fsck suppresses MIDX output with --no-progress"
"oracle","t5319-multi-pack-index.sh","48","PASS","ok","","corrupt MIDX is not reused"
"oracle","t5319-multi-pack-index.sh","49","PASS","ok","","verify incorrect checksum"
"oracle","t5319-multi-pack-index.sh","50","PASS","ok","","setup for v1-specific fsck tests"
"oracle","t5319-multi-pack-index.sh","51","PASS","ok","","verify packnames out of order (v1)"
"oracle","t5319-multi-pack-index.sh","52","PASS","ok","","repack progress off for redirected stderr"
"oracle","t5319-multi-pack-index.sh","53","PASS","ok","","repack force progress on for stderr"
"oracle","t5319-multi-pack-index.sh","54","PASS","ok","","repack with the --no-progress option"
"oracle","t5319-multi-pack-index.sh","55","PASS","ok","","repack removes multi-pack-index when deleting packs"
"oracle","t5319-multi-pack-index.sh","56","PASS","ok","","repack preserves multi-pack-index when creating packs"
"oracle","t5319-multi-pack-index.sh","57","PASS","ok","","check normal git operations: after repack"
"oracle","t5319-multi-pack-index.sh","58","PASS","ok","","multi-pack-index and pack-bitmap"
"oracle","t5319-multi-pack-index.sh","59","PASS","ok","","multi-pack-index and alternates"
